Coastal American Airways - Airport-to-Airport O&D Matrix (Consolidated)
"Average daily O&D passengers, real BTS DB1C data, simple mean of 6 months: July 2025, April 2026, December 2025, February 2026, January 2026, November 2025. Secondary-airport rows use the dampened own/primary blend (see BLEND_WEIGHTS in process_chunk.py). Rows = origin, Columns = destination. Values are directional."

Origin \ Dest,ABE,ACY,AGS,ALB,ATW,AUS,AVL,AVP,BDL,BGR,BHM,BLV,BNA,BTR,BTV,BUF,BWI,CAE,CAK,CHA,CHS,CID,CLT,CMH,COU,CRP,CRW,DAB,DAL,DAY,DLH,DSM,ECP,ELP,ERI,EYW,FAR,FLL,FSD,FWA,GNV,GPT,GRR,GSO,GSP,HOU,HPN,HRL,HSV,HVN,ICT,ILM,IND,ISP,JAN,JAX,LBB,LEX,LIT,MAF,MCI,MCN,MDT,MEM,MFE,MHT,MKE,MLB,MOB,MSN,MSY,MYR,OKC,OMA,ORH,PGD,PHF,PIA,PIE,PIT,PNS,PVD,PWM,RDU,RFD,ROA,ROC,SAT,SAV,SBN,SDF,SFB,SGF,SHV,SRQ,SWF,SYR,TLH,TOL,TRI,TTN,TUL,TYS,VPS,XNA
BHM,1.5,0.1,0.5,3.8,1.3,20.8,1.4,0.7,7.2,1.5,,8.3,3.2,1.6,1.9,4.6,28.4,2.0,7.9,0.2,8.7,1.9,23.9,9.4,0.7,1.6,1.5,2.0,47.5,2.3,0.4,3.3,0.5,4.4,0.2,3.0,0.9,20.3,1.8,1.6,1.6,0.3,5.1,4.3,2.4,32.6,2.0,1.6,1.3,0.0,2.3,2.0,7.9,1.3,0.5,10.5,1.8,1.9,2.2,2.7,12.5,0.0,3.8,1.2,1.4,2.7,5.9,1.2,0.6,3.5,5.0,2.3,8.9,5.8,0.1,6.1,5.9,0.7,36.7,12.9,1.1,5.2,3.5,16.5,59.9,2.1,2.5,16.5,4.0,1.9,3.0,70.8,1.8,1.2,4.9,0.0,3.5,0.9,0.0,0.7,0.0,4.8,0.8,0.4,3.7
BLV,1.9,0.2,2.6,9.0,1.9,69.5,4.3,1.5,15.4,2.8,8.5,,34.4,2.7,3.6,9.8,50.8,5.5,26.6,3.2,23.6,0.8,67.1,25.3,0.3,3.6,1.0,3.0,90.3,2.1,1.0,8.8,19.2,8.4,0.2,7.9,3.4,91.2,3.3,1.0,2.3,2.6,7.0,6.5,8.5,52.0,1.7,5.4,3.5,0.0,9.6,4.9,3.6,1.2,3.4,40.3,3.7,1.7,8.3,2.4,18.8,0.0,5.7,2.3,2.2,4.1,17.8,1.6,2.5,3.2,46.2,10.3,17.7,21.7,0.2,64.7,14.0,0.2,77.6,27.7,15.6,8.7,7.1,46.1,110.8,2.9,6.3,40.4,18.6,1.4,2.3,193.0,0.7,1.6,35.5,0.0,7.3,2.6,0.0,1.6,0.2,9.8,6.3,18.2,1.2
BNA,11.7,0.6,4.5,30.9,15.2,169.7,3.1,3.9,36.1,4.6,3.5,33.7,,5.6,7.6,31.3,93.7,8.3,49.9,2.0,55.7,9.2,127.0,37.9,0.8,6.2,1.4,5.6,164.9,2.2,2.6,31.4,43.5,19.2,0.9,10.7,17.6,223.2,19.2,2.5,4.4,3.2,35.0,10.4,17.9,95.4,3.9,6.5,1.2,22.8,10.0,19.3,15.4,3.6,11.3,79.2,7.9,1.1,6.3,8.6,78.2,0.0,19.6,6.4,5.9,5.7,52.5,3.4,2.1,11.4,91.1,22.3,36.4,35.1,0.3,53.4,28.3,7.5,167.2,69.7,30.3,24.1,17.9,122.4,304.1,4.1,28.0,68.4,39.1,3.3,2.9,285.9,4.0,8.1,45.7,0.0,25.3,6.0,0.0,1.1,0.1,23.3,4.9,18.9,17.9
BTR,0.6,0.0,1.0,1.0,0.3,4.9,1.7,0.2,1.8,0.2,1.6,2.8,5.5,,0.4,1.2,5.6,1.7,2.8,1.3,3.0,0.6,11.3,4.0,0.3,1.3,0.5,0.4,16.5,0.7,0.0,1.4,0.3,1.7,0.1,0.7,0.4,2.8,0.6,0.4,0.6,0.1,1.5,1.8,2.3,13.1,0.8,0.5,1.1,0.0,1.3,1.2,3.8,0.0,0.1,3.7,0.8,1.5,1.7,2.0,3.8,0.0,0.9,1.6,0.5,0.2,2.5,0.2,0.1,1.1,2.9,0.6,3.3,2.6,0.0,1.4,2.1,0.1,2.9,4.1,0.1,1.3,0.7,6.3,7.0,0.7,0.6,4.6,2.6,0.6,2.5,5.7,0.9,0.3,0.9,0.0,0.7,0.7,0.0,0.7,0.0,2.3,3.1,0.1,2.1
BTV,0.1,0.0,0.5,0.6,0.6,7.3,2.4,0.0,0.5,0.2,2.0,3.8,7.7,0.3,,1.0,0.6,1.7,2.8,1.3,8.0,1.0,10.7,4.1,0.1,0.1,0.4,0.9,7.8,1.0,0.5,1.4,1.0,1.1,0.0,1.6,0.4,7.6,0.6,0.3,0.6,0.2,2.1,2.7,3.6,5.0,0.1,0.1,1.1,0.0,0.7,3.1,4.7,0.0,0.6,7.0,0.2,1.1,1.1,0.2,4.3,0.0,0.8,2.0,0.2,0.2,2.3,0.5,0.3,2.5,5.3,3.3,1.6,1.9,0.0,11.2,2.8,0.4,20.6,5.4,2.0,0.2,0.6,18.0,30.1,0.9,0.6,3.6,3.8,0.6,2.6,26.3,0.7,0.2,3.1,0.0,0.2,0.6,0.0,0.3,0.0,1.0,2.6,0.9,1.1
BUF,0.2,0.2,1.2,1.3,1.2,18.1,2.4,0.0,3.3,0.9,4.8,9.6,31.4,1.1,1.0,,26.8,3.4,0.8,2.4,11.5,1.5,45.3,2.1,0.3,0.7,0.2,3.7,34.5,0.7,0.4,2.6,2.9,2.9,0.0,5.4,1.0,113.3,1.3,0.5,1.1,1.0,2.3,4.0,6.0,20.1,0.4,0.9,2.8,0.0,1.7,3.7,6.5,0.9,1.4,17.9,0.9,1.5,2.1,0.9,10.6,0.0,0.6,5.4,0.9,0.9,5.0,1.6,0.8,3.9,15.3,7.5,4.9,4.8,0.1,32.5,6.7,0.5,80.9,1.3,4.5,2.6,2.6,34.5,58.4,1.5,2.1,11.9,10.7,0.8,3.8,208.3,1.7,1.0,24.2,0.0,1.4,1.7,0.0,0.8,0.0,3.1,4.6,3.4,3.2
BWI,0.1,0.0,7.2,22.5,2.7,102.2,4.6,0.0,34.2,0.3,28.4,50.5,93.2,5.6,0.6,27.9,,5.9,21.6,6.5,67.6,5.6,117.1,36.3,0.6,3.1,0.5,3.6,133.3,2.7,1.4,7.7,11.4,15.3,0.0,7.6,2.9,298.2,3.6,2.2,3.2,3.6,21.5,1.6,31.4,136.5,0.1,5.1,7.4,13.7,6.2,13.2,53.6,18.7,19.4,76.0,4.0,4.4,9.5,3.2,45.6,0.0,0.7,30.4,2.4,39.9,41.5,2.7,3.8,7.5,110.3,42.0,15.8,12.7,0.0,72.3,11.8,1.7,171.5,14.8,15.1,41.3,32.6,57.8,260.9,0.3,13.8,58.3,42.5,2.6,36.0,415.0,4.6,4.1,68.9,0.0,1.3,4.6,0.0,1.4,0.0,9.7,8.0,16.2,9.2
CAE,0.9,0.2,0.7,2.7,0.7,9.1,0.1,0.5,5.0,0.8,1.9,5.4,8.6,1.7,1.7,3.3,4.5,,3.7,0.9,1.3,1.2,2.0,4.9,0.3,0.3,0.3,0.5,14.6,1.9,0.2,1.9,0.9,3.6,0.1,1.4,0.5,17.9,0.8,0.8,0.6,1.6,3.4,0.2,0.6,7.6,1.2,0.2,1.1,0.0,1.8,0.1,6.8,0.0,2.1,1.3,0.6,1.6,2.9,0.4,6.0,0.0,2.2,4.0,0.4,1.6,4.0,0.6,0.7,1.9,6.1,0.3,6.6,3.0,0.0,2.1,1.9,0.5,6.1,5.8,1.8,3.5,2.0,1.1,28.9,0.2,2.3,10.7,0.5,0.9,4.2,9.7,1.4,1.3,1.7,0.0,2.9,0.9,0.0,0.1,0.0,2.0,0.8,1.3,1.8
CAK,0.4,0.2,2.1,3.4,2.5,31.7,3.1,0.3,9.6,1.7,7.8,26.4,49.9,2.7,2.8,0.9,21.4,3.9,,3.0,15.9,2.4,47.6,3.5,0.6,1.3,0.1,4.0,65.8,0.4,1.1,4.9,5.8,4.6,0.1,10.0,1.9,163.2,2.6,0.1,1.7,2.4,1.9,4.2,8.3,47.6,1.0,1.3,3.7,0.0,3.7,5.3,4.4,0.7,2.6,20.2,1.5,1.2,4.8,1.3,20.9,0.0,1.4,9.2,1.9,1.7,9.2,1.8,2.7,5.4,23.6,18.4,8.6,7.1,0.1,103.6,8.3,1.0,117.6,2.2,7.9,5.1,4.0,37.7,116.9,1.1,0.8,19.3,15.6,0.3,3.0,229.7,2.8,2.0,32.9,0.0,1.3,2.4,0.0,0.9,0.0,5.4,4.9,6.9,4.6
CHA,1.1,0.0,0.2,2.2,0.9,7.5,0.2,0.6,3.7,0.8,0.2,3.1,1.4,1.4,1.3,2.4,6.6,0.9,3.1,,3.2,0.9,10.0,2.9,0.2,0.4,0.3,1.4,17.3,0.6,0.2,1.8,1.0,1.7,0.1,1.7,0.6,13.3,1.0,0.8,0.7,0.6,3.3,1.3,0.7,7.7,1.2,0.2,0.2,0.0,1.4,1.5,3.0,0.0,0.5,4.5,0.5,0.3,1.6,0.7,4.5,0.0,2.0,2.0,0.5,0.8,3.3,1.0,0.6,1.8,4.5,1.3,2.9,3.4,0.1,5.8,2.5,0.5,10.3,5.3,1.3,3.2,3.5,5.8,28.9,0.4,1.6,5.2,1.6,1.5,0.6,16.3,1.2,0.9,2.4,0.0,1.9,0.5,0.0,0.1,0.0,2.0,1.0,0.7,2.3
