Coastal American Airways - Airport-to-Airport O&D Matrix (Consolidated)
"Average daily O&D passengers, real BTS DB1C data, simple mean of 6 months: July 2025, April 2026, December 2025, February 2026, January 2026, November 2025. Secondary-airport rows use the dampened own/primary blend (see BLEND_WEIGHTS in process_chunk.py). Rows = origin, Columns = destination. Values are directional."

Origin \ Dest,ABE,ACY,AGS,ALB,ATW,AUS,AVL,AVP,BDL,BGR,BHM,BLV,BNA,BTR,BTV,BUF,BWI,CAE,CAK,CHA,CHS,CID,CLT,CMH,COU,CRP,CRW,DAB,DAL,DAY,DLH,DSM,ECP,ELP,ERI,EYW,FAR,FLL,FSD,FWA,GNV,GPT,GRR,GSO,GSP,HOU,HPN,HRL,HSV,HVN,ICT,ILM,IND,ISP,JAN,JAX,LBB,LEX,LIT,MAF,MCI,MCN,MDT,MEM,MFE,MHT,MKE,MLB,MOB,MSN,MSY,MYR,OKC,OMA,ORH,PGD,PHF,PIA,PIE,PIT,PNS,PVD,PWM,RDU,RFD,ROA,ROC,SAT,SAV,SBN,SDF,SFB,SGF,SHV,SRQ,SWF,SYR,TLH,TOL,TRI,TTN,TUL,TYS,VPS,XNA
CHS,1.8,0.5,0.2,17.2,2.4,29.6,0.8,2.1,36.4,2.4,8.6,23.7,55.5,2.9,7.9,11.5,68.4,1.2,15.7,3.3,,3.5,9.5,27.8,0.8,1.6,1.3,0.7,52.8,3.8,0.6,5.5,3.0,4.1,0.6,4.6,2.0,62.3,2.9,2.3,0.6,2.6,9.0,1.4,1.8,27.4,24.2,1.0,4.5,21.1,3.9,0.8,21.8,21.3,3.9,5.2,1.9,4.3,5.9,1.6,20.4,0.0,6.0,12.8,1.2,12.7,10.6,1.1,2.5,6.4,38.7,1.5,7.6,9.6,0.1,14.4,13.1,1.9,40.1,38.0,6.7,40.8,16.7,5.2,102.8,1.4,15.3,17.7,5.6,3.0,15.0,31.5,3.5,2.6,4.5,7.4,14.2,1.1,0.0,0.7,0.1,5.2,3.7,3.5,5.6
CID,0.5,0.0,0.7,1.4,0.1,8.8,1.0,0.6,4.2,0.4,1.9,0.8,9.3,0.6,0.8,1.5,5.4,1.2,2.4,1.0,3.4,,6.6,3.5,0.0,0.7,0.2,0.5,17.0,0.8,0.1,1.3,1.6,1.6,0.0,2.4,0.9,21.1,0.5,0.4,0.5,0.4,1.3,2.2,1.8,7.5,0.9,0.7,1.2,0.0,0.9,1.3,2.1,0.0,0.7,4.7,0.7,0.8,1.0,0.5,1.0,0.0,1.6,1.7,2.3,0.4,0.4,0.9,0.4,0.3,4.7,1.7,2.2,0.4,0.0,13.9,2.4,0.1,13.3,3.4,3.5,1.5,1.4,7.6,11.0,0.6,1.1,8.0,3.1,0.2,1.8,20.9,0.3,0.5,9.3,0.0,1.3,0.8,0.0,0.5,0.0,1.4,1.9,1.7,1.0
CLT,12.5,0.9,1.3,35.0,8.4,78.0,2.3,11.9,61.5,5.3,24.0,68.0,126.8,11.3,10.5,45.5,118.7,2.8,48.1,10.2,11.0,6.6,,41.4,1.1,2.1,2.2,14.8,176.9,11.5,1.4,18.8,12.9,10.7,7.0,17.5,4.4,212.2,5.5,9.5,10.1,7.5,26.8,3.8,3.9,122.2,23.2,2.0,10.8,0.0,7.2,5.4,62.3,4.1,11.5,41.0,3.2,11.2,17.4,2.7,62.3,0.0,20.1,39.3,4.4,18.5,35.6,13.1,6.7,20.8,74.7,4.0,21.1,27.4,0.4,43.3,14.7,7.8,116.0,49.7,18.6,38.3,22.7,14.0,282.3,1.7,25.6,63.1,6.8,10.7,28.0,256.1,10.4,8.2,31.1,0.0,27.1,10.2,0.0,1.2,0.2,19.7,7.8,15.9,19.1
CMH,1.0,0.4,2.8,6.3,2.6,51.3,3.1,1.1,21.6,2.7,9.4,25.3,38.2,3.9,3.9,2.1,35.9,5.3,3.5,3.0,28.0,3.6,40.4,,0.8,2.3,0.2,4.1,76.1,1.4,1.4,8.9,9.8,6.4,0.0,10.2,2.7,140.2,3.4,0.2,2.8,2.3,3.0,5.2,9.3,42.8,1.7,2.7,3.9,0.1,4.4,6.8,2.1,1.1,3.8,32.1,2.5,0.4,5.4,2.9,26.0,0.0,3.0,11.4,3.1,3.4,9.3,2.2,2.4,7.7,27.7,11.5,11.4,10.4,0.2,83.5,14.1,0.6,85.5,2.2,10.3,9.0,9.7,35.9,143.7,1.1,2.2,25.7,13.3,0.5,1.1,212.3,2.9,3.2,43.8,0.0,4.1,3.0,0.0,0.6,0.0,7.9,2.9,9.3,5.7
COU,0.1,0.0,0.1,0.4,0.1,2.1,0.2,0.1,0.7,0.1,0.6,0.3,0.8,0.3,0.1,0.3,0.6,0.3,0.6,0.2,0.8,0.1,1.2,0.8,,0.2,0.1,0.0,10.0,0.3,0.0,0.0,0.2,0.5,0.0,0.5,0.2,1.1,0.2,0.1,0.2,0.2,0.6,0.4,0.5,1.8,0.1,0.1,0.2,0.0,0.0,0.3,0.5,0.0,0.3,1.0,0.3,0.3,0.3,0.2,0.2,0.0,0.6,0.3,0.4,0.1,0.4,0.0,0.2,0.3,1.2,0.1,0.5,0.1,0.0,0.8,0.5,0.0,1.2,0.7,0.5,0.3,0.2,1.5,17.3,0.1,0.2,1.9,0.7,0.1,0.3,2.6,0.1,0.1,0.3,0.0,0.4,0.3,0.0,0.1,0.0,0.1,0.8,0.3,0.1
CRP,0.1,0.0,0.4,0.4,0.3,1.1,0.3,0.1,1.1,0.2,1.5,3.7,6.1,1.3,0.1,0.6,3.2,0.4,1.3,0.4,1.5,0.6,2.2,2.4,0.2,,0.1,0.0,23.3,0.4,0.1,1.5,0.8,4.2,0.0,0.7,0.5,3.2,0.8,0.9,0.2,0.6,1.3,0.4,1.1,7.8,0.0,0.2,1.1,0.0,2.0,0.5,3.3,0.0,1.2,3.0,2.3,0.4,1.2,3.1,4.4,0.0,0.5,2.2,0.3,0.3,1.7,0.0,0.8,0.9,6.9,0.3,3.4,2.5,0.0,0.9,2.0,0.2,3.1,2.6,2.2,0.6,0.3,2.7,6.9,0.3,0.2,0.7,1.1,0.5,1.3,7.1,0.9,0.5,0.5,0.0,0.4,0.3,0.0,0.3,0.0,3.5,1.3,0.5,1.1
CRW,0.1,0.0,0.3,0.5,0.2,2.8,0.1,0.0,0.9,0.2,1.5,1.1,1.4,0.6,0.4,0.2,0.5,0.3,0.1,0.3,1.3,0.2,2.0,0.1,0.0,0.2,,0.8,3.9,0.0,0.1,0.5,0.9,0.5,0.0,1.0,0.2,3.4,0.3,0.0,0.5,0.5,0.5,0.1,0.3,4.2,0.3,0.0,0.6,0.0,0.4,0.5,0.5,0.0,0.9,2.6,0.1,0.0,0.7,0.2,2.0,0.0,0.1,1.1,0.1,0.3,0.7,0.6,0.5,0.6,3.3,2.8,1.5,0.8,0.0,1.6,0.4,0.1,8.5,0.3,1.6,0.8,0.5,0.5,7.7,0.1,0.3,2.9,0.8,0.2,0.1,15.8,0.4,0.4,1.4,0.0,0.4,0.4,0.0,0.0,0.0,0.9,0.2,0.9,0.6
DAB,0.7,0.0,0.3,3.1,0.3,3.0,0.7,0.7,18.7,0.1,2.0,2.9,5.4,0.5,0.9,3.7,3.8,0.5,4.0,1.3,0.9,0.5,14.2,4.2,0.0,0.0,0.8,,4.0,2.1,0.1,1.0,0.3,0.3,0.4,0.1,0.2,0.4,0.2,0.8,0.1,0.4,2.1,1.7,1.5,1.6,10.5,0.0,1.6,17.0,1.0,1.0,4.5,0.0,1.0,0.7,0.0,1.5,1.7,0.2,4.0,0.0,1.5,2.1,0.1,0.6,3.0,0.1,0.4,2.4,1.9,0.6,1.7,1.9,0.0,0.2,2.2,0.2,0.5,5.0,0.9,14.8,1.4,9.4,5.9,0.9,3.6,2.7,0.2,0.7,3.0,1.8,0.9,0.5,0.1,0.0,3.8,0.2,0.0,0.7,0.0,1.5,1.3,0.3,1.2
DAL,3.6,0.9,9.6,17.8,8.8,70.9,13.0,4.7,41.4,4.8,48.2,91.8,165.1,16.3,7.8,34.2,132.7,15.5,65.9,17.2,52.9,17.2,177.0,76.9,10.2,24.0,3.8,4.0,,16.6,2.1,30.2,36.7,76.2,0.6,10.1,12.8,232.2,14.6,13.3,8.9,7.9,39.6,25.6,33.4,98.1,2.9,22.4,17.7,9.4,14.4,14.1,107.3,1.1,16.4,83.3,34.0,14.4,26.5,30.0,102.6,0.0,14.0,59.7,22.4,3.4,51.7,2.0,11.2,25.0,132.1,16.8,12.1,52.6,0.5,44.6,42.2,13.3,147.8,81.2,43.1,12.2,13.5,136.6,489.5,7.7,14.5,98.7,41.0,12.1,54.1,350.7,14.6,2.8,24.2,0.0,21.0,10.2,0.0,7.4,0.1,26.3,39.6,32.8,26.3
DAY,0.4,0.1,0.7,1.6,0.6,5.9,0.7,0.5,3.8,0.7,2.2,2.1,1.9,0.8,0.9,0.7,2.5,1.9,0.3,0.6,3.7,0.8,11.4,1.4,0.3,0.4,0.0,2.1,16.5,,0.2,1.8,2.1,2.4,0.0,2.2,0.6,6.7,0.9,0.1,0.8,1.1,0.4,1.6,2.9,5.3,0.9,0.1,1.7,0.0,2.0,1.5,0.3,0.0,1.1,6.7,0.6,0.1,1.6,0.3,4.7,0.0,1.2,3.1,0.5,1.5,1.6,2.3,0.7,1.2,4.7,1.8,6.1,3.1,0.0,9.1,4.0,0.1,11.7,0.6,3.5,2.1,1.7,6.2,24.0,0.3,0.8,11.9,3.6,0.1,0.1,13.1,0.9,1.2,4.8,0.0,1.7,0.9,0.0,0.2,0.0,2.6,0.5,4.2,1.5
DLH,0.0,0.0,0.1,0.5,0.1,1.6,0.2,0.1,1.0,0.1,0.3,1.0,2.6,0.0,0.5,0.4,1.3,0.2,1.1,0.2,0.6,0.2,1.4,1.5,0.1,0.1,0.1,0.1,2.1,0.2,,0.2,0.2,0.1,0.0,0.3,0.1,1.4,0.2,0.1,0.1,0.0,1.0,0.2,0.4,1.9,0.1,0.3,0.2,0.0,0.4,0.1,1.3,0.0,0.0,0.9,0.0,0.3,0.2,0.1,1.1,0.0,0.3,0.6,0.1,0.0,0.7,0.0,0.1,0.2,0.8,0.2,0.6,0.6,0.0,2.7,0.7,0.1,2.1,1.2,0.6,0.3,0.4,1.6,8.9,0.1,0.3,1.5,0.6,0.2,0.5,3.9,0.2,0.0,0.8,0.0,0.3,0.1,0.0,0.1,0.0,0.3,0.9,0.2,0.3
DSM,0.9,0.1,1.1,2.3,0.7,26.8,2.1,0.4,5.2,0.7,3.2,8.9,31.9,1.3,1.4,2.7,7.6,2.0,4.6,1.8,5.8,1.2,19.0,8.4,0.0,1.5,0.5,1.1,30.2,1.9,0.2,,2.9,3.2,0.1,3.9,1.6,29.8,0.4,1.0,0.9,1.0,3.3,3.2,3.4,22.0,0.7,1.9,1.6,0.0,0.7,2.5,7.6,0.0,1.4,11.9,1.6,1.5,1.8,0.9,0.9,0.0,3.2,3.8,2.9,0.9,2.3,0.9,0.9,0.9,8.6,2.8,3.6,1.1,0.0,26.3,3.4,0.1,18.5,5.6,4.0,2.4,2.4,11.9,40.8,1.2,2.2,10.0,4.8,0.7,4.0,34.8,0.4,0.8,17.8,0.0,2.7,1.2,0.0,0.9,0.0,1.6,3.6,6.5,0.8
ECP,0.9,0.0,0.5,2.5,1.4,28.4,1.4,0.6,4.1,0.4,0.5,18.9,43.9,0.3,1.0,3.0,11.5,0.9,5.8,1.0,3.1,1.6,13.1,10.0,0.2,0.8,0.9,0.3,37.2,2.3,0.2,3.0,,2.6,0.2,1.5,0.8,5.1,1.5,1.4,0.1,0.1,3.4,1.7,1.5,21.6,1.2,0.6,0.7,0.0,1.8,1.3,10.7,0.1,0.3,0.8,2.5,2.6,3.4,2.7,19.3,0.0,2.3,3.3,0.4,0.7,8.8,0.3,0.1,2.5,1.1,1.1,8.2,7.7,0.0,1.4,5.4,0.6,2.4,8.2,0.8,2.8,1.4,6.3,32.8,1.2,2.0,8.2,1.2,1.1,4.5,3.0,1.8,1.0,0.8,0.0,2.9,0.4,0.0,0.8,0.0,6.1,2.6,1.4,2.5
ELP,0.7,0.0,1.6,2.2,1.0,75.9,1.5,0.5,4.6,0.4,4.4,9.1,19.0,1.6,0.9,2.9,14.8,3.7,4.7,1.9,3.9,1.8,10.7,6.4,0.5,3.9,0.4,0.3,76.4,2.4,0.1,3.4,2.6,,0.0,0.4,1.7,10.9,1.9,1.5,0.6,1.6,3.7,3.4,3.5,45.1,0.6,7.9,8.1,0.0,2.4,1.3,10.1,0.2,1.8,7.6,2.8,2.1,3.2,1.1,13.2,0.0,2.0,5.1,4.6,1.0,5.4,0.6,0.9,2.5,11.4,1.1,7.5,5.9,0.0,2.4,6.0,0.6,11.4,7.1,3.5,2.0,1.3,13.3,49.0,0.8,1.5,66.7,5.6,1.2,5.6,37.2,2.4,1.7,1.6,0.0,2.8,1.0,0.0,0.8,0.0,5.8,4.1,3.1,2.3
ERI,0.0,0.0,0.1,0.0,0.0,0.8,0.2,0.0,0.3,0.0,0.2,0.2,0.9,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.5,0.0,6.9,0.0,0.0,0.0,0.0,0.5,0.6,0.0,0.0,0.1,0.2,0.0,,0.4,0.0,1.2,0.0,0.0,0.1,0.1,0.0,0.2,0.5,0.4,0.0,0.0,0.1,0.0,0.0,0.3,0.2,0.0,0.1,0.7,0.0,0.1,0.1,0.0,0.3,0.0,0.1,0.3,0.0,0.1,0.1,0.4,0.1,0.1,0.5,0.3,0.1,0.1,0.0,1.8,0.3,0.0,8.6,0.1,0.4,0.1,0.0,1.3,0.4,0.1,0.0,0.5,0.4,0.0,0.1,12.3,0.1,0.1,0.8,0.0,0.0,0.2,0.0,0.0,0.0,0.1,0.2,0.2,0.1
EYW,1.1,0.5,0.7,4.9,1.8,5.8,13.6,1.4,7.2,1.2,3.2,8.3,10.7,0.7,1.6,5.6,8.3,1.3,10.4,1.7,4.7,2.5,17.8,10.8,0.5,0.5,1.2,0.1,10.7,2.3,0.3,4.0,1.4,0.4,0.4,,1.3,5.4,1.8,1.6,0.5,1.0,9.4,2.3,2.6,5.1,0.9,0.1,1.6,7.4,1.3,3.3,21.1,0.0,1.4,4.1,0.3,2.2,2.1,0.3,7.9,0.0,3.8,3.5,0.1,1.4,6.3,0.1,0.5,3.1,5.9,2.5,3.1,4.6,0.0,0.8,8.2,0.9,28.1,21.5,4.1,5.0,3.1,12.8,40.5,1.4,3.8,3.1,2.9,1.8,5.8,18.4,1.9,0.7,0.3,0.0,4.7,1.7,0.0,0.6,0.0,2.3,12.5,1.1,1.8
FAR,0.2,0.0,0.3,0.7,0.5,5.0,0.6,0.2,1.9,0.2,0.9,3.5,17.6,0.3,0.4,1.0,3.1,0.7,1.9,0.6,2.0,0.9,4.4,2.6,0.2,0.5,0.2,0.2,12.8,0.6,0.1,1.6,0.8,1.7,0.0,1.1,,4.5,0.5,0.5,0.3,0.3,2.0,0.7,1.2,5.0,0.3,1.3,0.5,0.0,1.1,0.6,3.9,0.0,0.4,2.4,0.6,0.5,0.9,0.6,3.9,0.0,1.0,1.8,1.2,0.1,2.8,0.1,0.3,1.4,2.9,0.7,2.0,1.4,0.0,6.6,1.3,0.5,8.2,2.7,1.4,0.7,0.5,5.1,20.7,0.3,0.6,6.1,1.8,0.5,1.8,14.8,0.8,0.3,1.7,0.0,0.7,0.4,0.0,0.3,0.0,1.5,1.3,1.5,0.8
FLL,23.9,75.3,4.6,98.5,20.5,137.2,105.5,4.8,112.5,10.2,19.7,89.9,222.7,2.8,7.8,112.2,300.7,17.5,167.6,13.6,63.1,21.6,214.2,140.8,1.2,3.3,3.4,0.3,230.0,6.9,1.4,28.8,5.3,10.8,1.1,6.0,4.5,,14.5,15.3,0.3,2.7,46.8,11.6,33.7,169.2,108.4,3.6,15.7,65.7,7.6,21.2,166.6,57.5,5.4,8.4,5.2,29.0,9.7,6.0,96.8,0.0,17.2,46.5,3.3,22.6,49.1,0.2,2.4,11.9,162.6,46.6,18.5,27.2,32.0,7.2,59.4,4.0,95.0,173.0,42.8,93.3,13.6,170.4,569.7,5.2,33.3,54.7,22.9,16.8,70.0,52.5,7.1,3.2,1.7,16.4,51.3,4.9,0.0,3.8,5.9,14.2,85.0,4.1,27.1
FSD,0.3,0.0,0.4,1.0,0.7,6.7,0.8,0.3,2.1,0.3,1.8,3.3,19.5,0.6,0.6,1.3,3.6,0.9,2.7,0.9,2.9,0.5,5.3,3.6,0.2,0.8,0.3,0.2,14.4,0.9,0.2,0.5,1.5,1.9,0.0,1.8,0.5,14.3,,0.8,0.3,0.4,4.1,1.3,1.9,6.1,0.5,0.7,0.8,0.0,0.9,0.9,5.3,0.0,0.6,3.4,0.6,1.0,1.0,0.7,1.3,0.0,1.3,2.4,1.4,0.1,2.4,0.2,0.4,1.9,3.8,1.0,1.8,0.8,0.0,8.1,1.9,0.4,10.6,3.1,2.7,1.1,0.9,5.9,26.2,0.3,1.0,7.0,2.7,0.8,2.7,17.5,0.6,0.4,1.4,0.0,0.9,0.6,0.0,0.3,0.0,1.2,2.0,1.6,0.8
FWA,0.3,0.0,0.6,0.7,0.3,4.9,0.5,0.3,2.1,0.2,1.6,1.0,2.6,0.4,0.3,0.5,2.0,0.7,0.2,0.7,2.3,0.4,9.4,0.3,0.1,0.8,0.1,0.7,13.2,0.0,0.1,1.0,1.3,1.3,0.0,1.6,0.5,15.5,0.8,,0.6,0.5,0.2,1.1,2.1,4.6,0.5,0.4,1.0,0.0,1.3,0.9,0.8,0.0,0.6,3.5,0.3,0.1,0.9,0.4,3.3,0.0,1.0,1.7,0.8,0.4,0.5,0.9,0.4,0.7,3.0,4.7,2.0,1.7,0.0,14.7,1.6,0.0,11.4,0.5,1.6,1.2,0.6,3.7,5.2,0.6,0.5,5.1,2.5,0.2,0.2,13.4,0.7,0.7,19.8,0.0,0.8,0.4,0.0,0.2,0.0,1.4,0.7,1.0,1.2
GNV,0.7,0.0,0.2,1.4,0.3,3.9,1.2,0.3,2.4,0.1,1.6,2.4,4.3,0.6,0.6,1.3,3.2,0.6,1.9,0.6,0.5,0.6,9.9,2.8,0.2,0.2,0.5,0.1,8.8,0.8,0.1,1.1,0.1,0.6,0.1,0.6,0.3,0.4,0.4,0.6,,0.3,1.5,1.3,1.3,2.3,1.4,0.0,0.9,0.0,0.7,0.6,3.5,0.0,0.9,0.8,0.3,2.7,1.3,0.3,3.4,0.0,1.0,2.5,0.1,0.5,1.9,0.0,0.1,1.7,3.0,0.4,1.6,1.5,0.0,0.1,1.4,0.2,0.4,2.8,0.5,1.4,0.9,4.3,6.3,1.0,1.1,2.6,0.1,0.6,2.2,0.6,0.7,0.4,0.1,0.0,1.5,0.1,0.0,0.6,0.0,1.0,2.0,0.1,1.1
GPT,0.6,0.0,0.6,1.1,0.3,2.6,0.6,0.2,1.8,0.2,0.3,2.6,3.2,0.1,0.2,1.1,3.6,1.4,2.4,0.6,2.6,0.4,7.3,2.5,0.1,0.6,0.5,0.4,8.0,1.2,0.1,1.1,0.1,1.7,0.1,1.1,0.3,2.7,0.4,0.5,0.2,,1.6,1.2,1.2,6.5,0.5,0.2,0.6,0.0,0.9,1.0,3.5,0.0,0.3,2.5,0.6,0.8,1.0,1.6,3.1,0.0,1.2,0.9,0.5,0.3,2.5,0.5,0.4,1.0,1.1,0.7,2.3,2.0,0.0,1.1,6.1,0.2,7.1,3.5,0.3,1.9,0.8,4.0,4.3,0.5,0.8,4.8,1.9,0.5,2.1,11.5,0.6,0.3,0.8,0.0,0.9,0.1,0.0,0.5,0.0,1.3,1.5,0.1,0.9
GRR,1.2,0.1,1.3,3.1,1.3,29.4,3.3,0.6,7.1,1.5,5.0,7.2,35.8,1.5,2.1,2.3,21.2,3.7,1.9,3.4,9.0,1.3,26.3,3.0,0.6,1.4,0.4,2.1,39.6,0.4,1.1,3.4,3.4,3.7,0.0,8.9,2.1,46.2,4.3,0.1,1.5,1.6,,4.9,7.1,19.7,1.3,2.7,2.8,0.0,2.7,3.5,1.9,0.3,1.9,22.8,1.3,1.5,2.9,1.1,13.7,0.0,3.7,5.3,3.3,2.2,2.6,1.9,1.5,2.2,12.0,6.5,5.9,4.9,0.1,44.9,5.3,0.2,38.2,4.7,6.6,4.3,3.1,20.0,18.7,1.6,2.4,13.0,12.2,0.4,2.8,93.7,1.7,1.3,38.8,0.0,2.7,1.9,0.0,1.0,0.0,3.9,4.7,12.0,3.4
GSO,1.0,0.1,0.2,2.9,1.4,11.8,0.4,0.4,11.2,1.5,4.2,6.4,10.2,1.8,2.6,4.0,1.6,0.2,4.4,1.2,1.6,2.1,3.7,5.1,0.4,0.4,0.1,1.7,25.3,1.6,0.2,3.2,1.7,3.1,0.3,2.1,0.6,11.0,1.3,1.2,1.3,1.2,4.7,,0.5,9.3,1.2,0.2,2.2,0.0,2.7,0.4,9.0,0.0,2.4,6.4,0.7,2.7,2.9,0.6,8.0,0.0,1.7,6.6,0.9,1.5,5.6,1.0,0.9,2.7,9.6,0.4,4.1,3.6,0.2,4.6,0.8,0.6,13.6,5.2,2.9,3.7,2.9,3.4,47.9,0.3,2.5,8.9,1.1,1.6,4.0,19.9,1.3,1.2,3.9,0.0,3.6,1.7,0.0,0.1,0.0,2.9,0.8,1.5,2.8
GSP,1.2,0.3,0.1,6.9,2.5,16.7,1.1,1.0,16.3,2.2,2.5,8.4,18.0,2.2,3.6,6.1,30.9,0.8,8.4,0.7,2.0,1.9,3.5,9.4,0.5,1.2,0.4,1.6,33.2,2.9,0.4,3.5,1.6,3.4,0.5,2.5,1.3,33.5,1.8,2.1,1.4,1.2,7.1,0.4,,20.9,2.9,0.9,1.2,14.6,2.4,0.7,11.3,2.0,2.1,5.4,1.2,1.7,3.2,1.2,10.4,0.0,3.5,6.5,0.9,4.4,7.2,1.4,1.1,3.3,10.0,0.8,5.1,4.5,0.2,11.8,3.2,1.2,27.1,14.0,3.1,15.5,4.4,2.7,59.5,0.4,4.6,10.6,1.1,2.1,4.3,30.8,2.6,1.8,16.2,0.0,5.8,1.3,0.0,0.1,0.1,3.4,0.6,1.9,3.2
HOU,2.4,0.5,3.8,11.0,4.0,24.4,6.9,2.4,19.0,2.8,32.7,52.2,95.5,13.0,4.9,19.2,135.0,8.1,47.9,7.6,27.5,7.8,123.0,42.7,1.8,7.5,4.2,1.6,96.1,5.3,2.0,22.2,21.5,45.7,0.4,4.9,5.0,163.3,6.1,4.5,2.3,6.5,19.9,9.4,20.9,,1.6,21.3,17.6,4.2,18.4,6.8,55.0,1.1,16.0,42.1,27.7,7.3,22.6,65.5,62.2,0.0,5.7,43.7,16.6,2.4,32.7,0.8,12.0,10.1,107.1,6.3,52.4,27.5,0.3,27.3,25.6,3.9,91.0,57.3,22.0,9.6,8.7,77.5,333.1,5.2,13.5,26.0,25.0,5.1,28.5,267.0,13.5,5.3,7.3,0.0,12.6,3.8,0.0,3.7,0.1,46.7,31.3,4.8,24.1
HPN,0.0,0.0,1.4,0.3,0.7,6.2,1.0,0.0,0.5,0.1,2.0,1.8,4.1,0.7,0.1,0.4,0.1,1.2,0.9,1.2,22.5,1.0,23.0,1.6,0.2,0.0,0.3,10.5,3.1,0.9,0.1,0.7,1.1,0.5,0.0,0.9,0.2,108.0,0.5,0.6,1.3,0.5,1.3,1.2,2.9,1.7,,0.0,1.4,0.0,0.8,1.2,1.3,0.1,0.6,13.7,0.0,1.0,0.9,0.0,2.0,0.0,0.0,1.7,0.1,0.0,2.5,0.6,0.6,1.9,4.2,17.1,0.8,0.9,0.0,47.4,0.8,0.4,37.2,0.7,1.9,0.2,0.1,16.3,35.6,0.3,0.1,3.2,10.4,1.2,1.5,106.0,0.8,0.4,11.2,0.0,0.1,1.4,0.0,0.4,0.0,0.7,1.7,1.4,0.6
HRL,0.0,0.0,0.1,0.5,0.6,24.1,0.1,0.0,0.8,0.1,1.6,5.5,6.5,0.5,0.0,0.8,5.4,0.2,1.2,0.3,1.0,0.8,2.0,2.8,0.1,0.2,0.1,0.0,21.6,0.1,0.3,2.1,0.6,7.6,0.0,0.1,1.2,3.7,0.8,0.4,0.0,0.2,2.7,0.2,1.0,21.1,0.0,,0.2,0.0,0.8,0.2,6.1,0.0,0.6,1.8,2.2,0.2,1.0,6.6,7.1,0.0,0.2,1.8,0.9,0.2,3.5,0.0,0.3,0.8,5.9,0.2,3.5,4.3,0.0,1.2,1.1,0.2,4.8,2.1,0.7,0.4,0.4,3.5,15.7,0.1,0.3,3.2,0.7,0.5,1.3,12.9,0.4,0.3,0.7,0.0,0.3,0.0,0.0,0.1,0.0,2.4,0.5,0.3,0.4
HSV,0.8,0.0,0.7,1.8,0.7,9.0,0.4,0.7,5.1,0.5,1.3,3.7,1.1,1.1,1.0,2.7,7.4,1.0,3.7,0.2,4.4,1.3,10.7,3.9,0.2,1.2,0.6,1.5,17.7,1.8,0.2,1.6,0.7,7.9,0.1,1.6,0.5,15.3,0.8,1.0,0.9,0.5,2.7,2.2,1.2,17.5,1.3,0.2,,0.0,1.7,1.6,2.9,0.0,0.4,6.1,0.7,0.5,1.2,1.0,4.9,0.0,2.6,0.6,0.8,1.7,2.4,3.9,0.6,1.1,3.8,1.2,4.0,3.1,0.1,3.1,5.3,0.5,16.1,4.7,1.0,2.5,1.6,8.7,26.8,0.7,1.9,9.5,2.3,1.2,0.6,41.7,0.9,0.9,2.6,0.0,2.8,0.7,0.0,0.3,0.0,2.2,0.4,0.8,1.5
HVN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.1,0.0,0.0,0.0,13.9,0.0,0.0,0.0,21.1,0.0,0.0,0.0,0.0,0.0,0.0,16.7,9.1,0.0,0.0,0.0,0.0,0.0,0.0,7.6,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9,3.8,0.0,0.0,0.0,,0.0,16.3,0.0,0.0,0.0,20.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,28.0,0.0,0.0,0.0,33.7,4.2,0.0,33.6,0.0,0.0,0.0,1.0,49.0,14.6,0.0,0.0,0.0,9.2,0.0,0.0,78.5,0.0,0.0,30.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,2.6,0.0
ICT,0.5,0.0,1.1,1.5,1.0,6.4,1.4,0.4,3.4,0.3,2.5,9.7,10.3,1.3,0.7,1.8,6.2,1.9,3.8,1.4,3.9,0.9,7.1,4.3,0.1,2.0,0.5,0.8,14.5,1.9,0.3,0.7,1.7,2.5,0.1,1.3,1.0,7.7,0.9,1.2,0.7,1.0,2.8,2.8,2.5,18.8,0.6,0.7,1.7,0.0,,1.5,5.1,0.0,1.1,5.7,0.8,1.3,1.0,0.9,1.8,0.0,2.4,2.5,0.9,0.3,2.8,0.8,1.3,1.4,6.1,1.7,0.7,0.5,0.0,4.4,3.3,0.4,10.4,4.0,3.3,1.5,1.1,7.0,34.0,0.8,0.9,7.4,4.3,1.1,3.0,21.6,0.2,0.6,3.1,0.0,1.4,0.9,0.0,0.4,0.0,0.3,2.9,10.3,0.2
